temizlenmis_metin,Kategori1,Kategori2,combined_label,ÜCRET İADESİ,BAGAJ,MÜŞTERİ HİZMETLERİ,UYGULAMA/TEKNİK,RÖTAR
overbook nedeniyle uç i̇ptal ed tazminat taleb karşı tarih ada çukurova havaliman ’nın rav rezervasyon numara uç havaliman saat fazla bir sür önce git rağmen uç overbook ol söylen hiçbir muhatap bul ban gece saat sür yaklaşık saat sonra gerçek aktar bir uçuş ver süreç ye iç masraf ait ol pegasusmüşteri hizmet havaliman telefon iletişim geç ayrıca kayıt oluş tazminat taleb bulun ancak haf sadece “süreç devam ediyor” şekl standart yetersiz yanıtla al herhangi bir çöz muhatap bul hızlı şekil tazminat iade ed yaşa mağduriyet gider talep ed müşteri̇ hi̇zmetleri̇ müşteri̇ hi̇zmetleri̇,MÜŞTERİ HİZMETLERİ,MÜŞTERİ HİZMETLERİ,MÜŞTERİ HİZMETLERİ,0,0,1,0,0
pegasusuçuşunda sat bilet nedeniyle mağduriyet çöz taleb tarih saat ’de sabiha gökçen’den ada havaliman yap iç hat uç iki kişilik bilet al pnr c t bilet numara toplam tl kredi kart öde ancak bilet sat sadece bir kişi bir sonra uç gönder söyle böyle bir ilk karşı mağduriyet gider yapılan hata düzelt bir özür ilet talep ed müşteri̇ hi̇zmetleri̇,MÜŞTERİ HİZMETLERİ,,MÜŞTERİ HİZMETLERİ,0,0,1,0,0
uçuş gecik yüzünden yem tören geç kal eylül tarih çukurova havaliman i̇stanbul sabiha gökçen’e gerçek gerek pc numara uç ’ta kalk gerek ’a ertele bildir ayrıca tekrar bir ertele ol ilet gecik ilgili sadece sms yoluyla bilgilen ikra ol yalnızca bir şişe su ver gecik nedeniyle oğl yem tören geç kal otel rezervasyon iptal ol zamanında i̇stanbul’a var ist yaşa mağduriyet telafi ed konu hakkında detay bir açıkla yap talep ed pnr numara wlg ’tan iyi bir bilgilen mağduriyet gider bekl rötar,RÖTAR,,RÖTAR,0,0,0,0,1
sağlık rapor rağmenpegasusbilet i̇adesinde mağduriyet yaşa tarih ’un internet site üzer kas tarih prag gidişdönüş uçak bilet sat al rezervasyon kod vd jc hamile ol öğren doktor risk gebe rapor nedeniyle seyahat gerçek el doktor rapor mevcut bilet iptal et müşteri hizmet ara ancak sağlık rapor sun rağmen ücret neredeyse tamam yakın bir kısm kes ban sadece yaklaşık tl düşük bir tutar iade ed söylen oysa bilet toplam tl civar öde yap sağlık nedeniyle el ol bir sebep dolayı iptal taleb ol rağmen müşteri hizmet kesinlikle yardımcı ol rapor kabul et ceza kesinti iade hakk tanı talep ed aksi hal tüket hakem heyet başvur belirt iste ücret i̇adesi̇,ÜCRET İADESİ,,ÜCRET İADESİ,1,0,0,0,0
pegasusuçuşunda yaşa uzun rötar tazminat sürec belirsiz tarih pc numara uç kıbrıs ercan havaliman i̇zmir adnan menderes havaliman saat ’ta gerçek planla yolcu ciddi bir rötar yaşa sabah ’de otel ayrıl ’te bin otobüs havaalan doğru yol çık ancak ’da ’tan gelen mesaj uç ’e ertele bildir bilgilen yol çık sonra yap otobüs in şans ol ’te havaalan var saatlerce bekle zor kal gecik önceden bildir havaalan geç gid havaalan yaklaşık saat bekle sonra ’de gelen yeni mesaj uçuş ’de yap belirt ancak kapı bekle rağmen ’te hala uçağ alın uçağ alın civar kalkış yaklaşık ’da gerçek süreç mağduriyet göster görüntüle el mevcut ol paylaş bekle ekstra yemek masraf ceb karşıla zor kal yasal hakk ol tazminat başvuru tarih başvuru numara ’a ilet ancak üzer yaklaşık bir ay geç rağmen incel sürec tamam herhangi bir geri dönüş al müşteri hizmet ara sadece sürec hızlan söylen başka bir çöz sun yaklaşık saat rötar yaşa mağduriyet yasal hakk ol tazminat bir an önce öde talep ed rötar müşteri̇ hi̇zmetleri̇,RÖTAR,MÜŞTERİ HİZMETLERİ,"MÜŞTERİ HİZMETLERİ,RÖTAR",0,0,1,0,1
pegasusbilet hata mağduriyet uçuş katıl risk tarih i̇zmir–i̇stanbul tarih i̇stanbul–i̇zmir ol üzere obilet üzer a ’na ait iki adet uçak bilet al bilet ait ad soyad ban gönder eposta doğru görün rağmen havayol firma ilet hata gir obilet konu herhangi bir sorumluluk kabul et firma görüş gerek söyle havayol firma sistem gir obilet ol belirt adsoyad hata nedeniyle uçağ alın risk ol ilet konu ilgili ol obilet havayol firma defalarca iletişim geç obilet herhangi bir çöz sun havayol firma kimlik fotoğraf talep et gönder ancak a iş gün içinde dönüş yap belirt oysa uç yarın sabah acil çöz bekl an bilet geçersiz say uç katıl risk karşı karşı i̇sim düzelt hakk sağ mağduriyet gider aksi hal ücret iade yap talep ed bilet numarala b s ewyh sor ilk baş gel mağduriyet acilen gider ist müşteri̇ hi̇zmetleri̇ ücret i̇adesi̇,MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ,"MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ",1,0,1,0,0
pegasusuçuşunda yaşa gecik yolcu mağduriyet un mağduriyet tarih i̇stanbuldan çukurova gid ol te kalk uçağ gecik ol gel ban gelen mesaj bildir kadar büyük bir firma olur kadar yolcu mağdur ed rötar,RÖTAR,,RÖTAR,0,0,0,0,1
bilet i̇ptali sonra vergi i̇adesi haf yap temmuz tarih pc sefer uç bilet iptal et iade işlem temmuz bol bolçağrı merkeziüzerinden başla başvuru no bilet ücret dış tl’lik vergi tutar iade yap i̇ptal işlem sonra beş müşteri hizmet ara sefer iban numara iade yap işlem finans bölüm bekle gün içinde sonuçlan söylen ancak ara hafta geç rağmen hesab hiçbir iade yap ayrıca süreç sürekli ol eposta yoluyla “başvurunuzun incele devam ediyor” şekl otomatik yanıtla al herhangi bir ilerle sağ bilet standart bir bilet ol herhangi bir promosyon özelkampanyakapsamında ’tan iptal ed bilet vergi tutar bir an önce iade ed talep ed ücret i̇adesi̇,ÜCRET İADESİ,,ÜCRET İADESİ,1,0,0,0,0
pegasusuçuşunda rötar sonra check karmaşa eksik bilet i̇adesi mağduriyet ağustos tarih i̇zmir adnan menderes havaliman ankara yap pc sefer sayılı uç ciddi bir mağduriyet yaşa uç rötar ol ver saat havaliman ol rağmen ertele uçağ check dol işlem yalnızca makine yap söylen maki ön uzun bir sır oluş işlem zamanında tamamla uçağ alın sonra bilet işlem gişe yönlen ancak bilet ücret sadece cüzi bir kısm iade ed mağduriyet gider süreçtemüşteri hizmetleriya havaliman personel herhangi bir çöz sun tek sefer ol uçuş bank kart toplam tl öde yap pnr ah yaşa mağduriyet gider bilet ücret tamam iade talep ed sicil numara ol hanım efendi insan yar ed ora bulun bekl ancak hiçbir şekil yardımcı olmadığ kötü bir şekil deneyimle öğren firma müşteri yardımcı ol personel ora bulundur iyi ol müşteri̇ hi̇zmetleri̇,MÜŞTERİ HİZMETLERİ,,MÜŞTERİ HİZMETLERİ,0,0,1,0,0
uçuş önce bagaj teslim yaşa mağduriyet acil çöz taleb tarih pc sefer sayılı almanya kölnbonn i̇stanbul sabiha gökçe uç ö ş a ş adına pnr no zms koltuk no a b iki adet valiz teslim ilgili ciddi bir mağduriyet yaşa bagaj kölnbonn havaliman ’den ’e kadar ol gişe ver iste uçuş dakika kala ol gerekçe valiz alın oysa bagaj önceden öde yap ek bagaj hakk sat al valiz içinde kıyafet okul eşya bulun yaşa sor sonra havaliman müşteri hizmet iletişim geç rağmen herhangi bir çöz sun herhangi bir belge tutanak ver ayrıca ek bir ücret talep ed bagaj içinde okul eşya bulun eylül tarih okul başla valiz kısa teslim ed büyük önem taş ’tan beklenti mağduriyet gider valiz i̇stanbul sabiha gökçe havaliman kısa teslim ed konu ilgili acil çöz bilgilen talep ed bagaj ücret i̇adesi̇,BAGAJ,ÜCRET İADESİ,"BAGAJ,ÜCRET İADESİ",1,1,0,0,0
pegasusonline check soru nedeniyle hak koltuk ücret öde zor kal ağustos tarih antalyasabiha gökçe yön gerçek pc sefer sayılı iç hat uç pnr numara kc t’dir uç yaklaşık saat kala samsung s ultra iphone plus cihaz üzer mobiluygulamasıyla defalarca online check yap çalış ancak sistem ücret otomatik koltuk ata yap sürekli ol “havaalanında koltuk seçebilirsiniz” uyarı ver süreçtemüşteri hizmet iki ara i̇lk görüşme sistem sor olmadığ taleb ıt birim kayıt aç söyle i̇kinci görüşme ücret koltuk seçim kapalı ol yalnızca ücret koltuk alın havaalan sır bekle kontuar ücret koltuk alın belirt oysa uç saat kala ücret koltuk al hakk var sistem hakk kullan ben ücret koltuk al zorla müşteri hizmet et rağmen ben ad check yap destekle bir yaklaşım sergile kabin bagaj hızlı geçiş yap kontuar saatlerce sır bekle tl tutar koltuk ücret garanti banka kredi kart öde zor kal müşteri hak ’un kendi sözleş madde aykırı ol düşün ayrıca önce benzer sistem sorun yaşa ol marka ol güven ciddi şekil sars hak yer öde zor kal koltuk ücret iade müşteri hizmet yap görüşme ince talep ed ’un uygula müşteri memnuniyet yok say yolcu mağdur et belirt iste uygulamatekni̇k,UYGULAMA/TEKNİK,,UYGULAMA/TEKNİK,0,0,0,1,0
acente üzer alın bilet bolbol puan mağduriyet ağustos tarih i̇stanbulankara uç bilet şirket tatil firmaacentesi üzer al ancak uçuş bol bol hesab puan yükle pegasusmüşteri hizmet görüş acente üzer alın bilet puan kazan al oysa önce böyle biruygulamayoktu puan uç sorun şekil kazan bilet k puan kazan ol mağduriyet yaş eskiden ol acente üzer alın bilet bol bol puan kazan talep ed konu mağduriyet gider ed müşteri̇ hi̇zmetleri̇ müşteri̇ hi̇zmetleri̇,MÜŞTERİ HİZMETLERİ,MÜŞTERİ HİZMETLERİ,MÜŞTERİ HİZMETLERİ,0,0,1,0,0
pegasushavalimanı personel saygı davranış yolcu zor anla yaşa ağustos tarih saat ’te sabiha gökçe havaliman elazığ ol uç önce bagaj teslim cihaz etiket al ancak etiket yarım metre kadar uzun çık yar al görev yönel i̇lk görev yer ayrıl işaret ed başka bir arkadaş göster görev dakika seslen el kaldır ulaş çalış fakat telefon ilgilen ben fark et sonunda valiz bırak yan git anlat kendi seslen el kaldır ancak telefon oyna gör söyle “telefonumla oyna kimse ilgilendirmez” şekl saygı bir yanıt al devam “siz ben telefon karışıyorsunuz” di üslub sert şikayet ed belirt ism c ö ol söyle “ben stajyer par bile al bura kimse ban bir yapamaz” di saygı tavr sürdür uzun yılla ’u tercih ed bir yolcu ol tut yakış üzül sırasında başka bir stajyer yardımcı ol soru çöz fakat yaşa saygı nedeniyle ’tan bir özür bekl müşteri̇ hi̇zmetleri̇,MÜŞTERİ HİZMETLERİ,,MÜŞTERİ HİZMETLERİ,0,0,1,0,0
doğu gün i̇ndirimi hata nedeniyle mağduriyet yaşa ağustos tarih antalyaerfurt uç mobiluygulaması üzer doğu günüindirimi kampanya faydalan iste kampanya uygula görün bolbol üye giriş yap ancak öde aşama sistem bir hata karşı işlem tamam kampanya numara müşteri hizmet ulaş çalış fakat yaklaşık yarım saat bekle rağmen hiçbir temsilci bağla sonra tekrar bilet al çalış kampanya hakk kullan görün indirim uygula sonuç ol bilet tl al zor kal oysa doğu gün indirim tl al bilet alışveriş mobil uygula üzer güncel uygula sorun hesab gerçek pnr numara h hc yaşa mağduriyet gider doğu gün kampanya hakk tekrar tanımla talep ed uygulamatekni̇k,UYGULAMA/TEKNİK,,UYGULAMA/TEKNİK,0,0,0,1,0
i̇ki ay bekle bilet i̇adesi yap tarih i̇stanbul sabiha gökçe havaliman ofis antalya havaliman bilet al bilet al yaklaşık dakika sonra iptal et ancak ara iki ay geç rağmen bugün tl tutar ücret bank kart iade ed i̇lgili pnr kod pwl n öde yap kart son hane ’dur ofis işlem tarih saat ’de kendi çık belirt fakat banka böyle bir iade görün pegasusmüşteri hizmet banka defalarca görüş iki birbiri yönlen sorun hiçbir şekil çöz ayrıca bilet herhangi bir promosyon özel koşul tabi i̇ki ay mağduriyet yaş ücret bir an önce bank kart iade ed talep ed ücret i̇adesi̇ müşteri̇ hi̇zmetleri̇,ÜCRET İADESİ,MÜŞTERİ HİZMETLERİ,"MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ",1,0,1,0,0
yanlış bilet i̇çin havaliman muhatap bul mağduriyet yarat tarih ’un kendi internet site erzurumi̇stanbul yön bilet al ancak yanlışlıkla ters yön bilet al fark et uç saat önce düzelt erzurum havaliman git havaliman ’a ait bir muhatap bul müşteri hizmet ara gişe kişi görüş gerek söylen fakat hiçbir yetkili ulaş saat fazla çöz ara bulun hiçbir şekil yardımcı ol önce benzer bir sor yaşa yine çöz bul tl öde bilet ücret iade talep ed ’un müşteri memnuniyet fazla önem ver bekl müşteri̇ hi̇zmetleri̇,MÜŞTERİ HİZMETLERİ,,MÜŞTERİ HİZMETLERİ,0,0,1,0,0
check sür hakkında bilgilen eksik nedeniyle mağduriyet ücret i̇adesi taleb tarih saat ’te sabiha gökçe aktar antalya havaliman uç ’tan standart paketle bilet al pnr daf uç dakika önce havaalan ol rağmen yetkili check işlem yap ücret iade ol belirt bilet al sonra check kapan saat ilgili herhangi bir bilgilen yapılmadımüşteri hizmet görüş fakat yardımcı ol ücret iade ed söylen köy gel zamanında yetiş çalış dakika kala ora ol rağmen mağdur ed tl öde bilet ücret iade talep ed ücret i̇adesi̇ ücret i̇adesi̇,ÜCRET İADESİ,ÜCRET İADESİ,ÜCRET İADESİ,1,0,0,0,0
pegasusuçuş i̇ptalinde yüksek kesinti müşteri hizmet ulaş mağduriyet ağustos enuyguncom üzer i̇zmiri̇stanbul hatt sv pnr numara uçuş bilet sat al bilet tutar tl i öde kredi kart gerçek bilet al sadece gün sonra ağustos iptal et iste tarafından tl enuyguncom tarafından tl ol üzere toplam tl kesinti uygula ban yalnızca tl iade ed ulaş ayrıca pegasusmüşteri hizmetleriile görüş ara bir türlü sır ban gel kimse muhatap ol kadar kısa sür geçmiş ol uçuş hala gün var ora bir kesinti yap mantık hak bul bilet al herhangi bir ek hizmet sat al benzer bir önce karşı bilet açığ alın kesinti yap makul bir tutar iptal ed öde kredi kart iade ed talep ed ücret i̇adesi̇ müşteri̇ hi̇zmetleri̇,ÜCRET İADESİ,MÜŞTERİ HİZMETLERİ,"MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ",1,0,1,0,0
pegasusuçuşunda saat gecik sağlık mağduriyet tarih ’un pc numara çukurova cov – sabiha gökçe sefer uç planla saat gerçek yaklaşık saat dakika gecik ol kalkış yap süreç sadece gecik dair kısa bir açıkla yap ancak mağduriyet ilgili herhangi bir çöz sun eş ben sağlık sorun nedeniyle uzun gecik olumsuz etkile ayrıca müşteri hizmet iletişim geç rağmen olumsuz bir geri dönüş al uçuş bilet kredi kart toplam tl sat al mağduriyet gider talep ed i̇lk böyle bir problem yaşa ol rağmen yaşa sağlık mağduriyet uzun sür gecik dikkat alın tazminat öde ist konu ince mağduriyet gider ed rötar müşteri̇ hi̇zmetleri̇,RÖTAR,MÜŞTERİ HİZMETLERİ,"MÜŞTERİ HİZMETLERİ,RÖTAR",0,0,1,0,1
yeni ver bagaj kısa hasar gör çöz bekl tarih un i̇stanbullyon lys uç kullan gidiş yolcu bagaj kır tarafından ban sıfır bir bagaj ver ancak dönüş yolcu lyon saintexupéry havaliman teslim al yeni bagaj fermuar tamamen kop ol fark et konu ilgili ol müşteri hizmet iletişim geç başvuru numara üzer kayıt aç ancak ana kadar sadece bekle gerek yön yanıt al herhangi bir çöz sun ’un ban ver sıfır bagaj kısa hasar gör nedeniyle mağdur ol ücret iade talep ed mağduriyet bir an önce gider ed bagaj ücret i̇adesi̇,BAGAJ,ÜCRET İADESİ,"BAGAJ,ÜCRET İADESİ",1,1,0,0,0
evlilik sonra soyad güncelle taleb redded eylül tarih sabiha gökçe – budapeşte ara pegasusuygulaması üzer al etxm y eu ek pnr numara yurt dış uçuş bilet bilet alım sonra evlilik değiş soyad değiş an bilet eski soyad görün uçuş kadar güncelle amac müşteri hizmet iletişim geç ancak fazla karakter değiş söylen internet üzer destek hatt yönlen ora eksik ver rağmen doğu tarihi uyum gerekçe taleb redded bilet yaklaşık bin tl öde ’un kendi uygula üzer al uçuş henüz gerçek mağduriyet yaşa sadece soyad ücret ol güncel talep ed konu ilgili desteğ sağ ed müşteri̇ hi̇zmetleri̇ müşteri̇ hi̇zmetleri̇,MÜŞTERİ HİZMETLERİ,MÜŞTERİ HİZMETLERİ,MÜŞTERİ HİZMETLERİ,0,0,1,0,0
pegasusuçuşunda valiz eşya kaybol sorumluluk alın ağustos uç ankara uçak alt valiz ver ercan havaliman al valiz içinde bir poşet eksik i̇çinde swatch saat şampuan kolye altın bujiteri vs var yok ankara havaliman yok ercan havaliman sor ercan havaliman yok poşet ben uçağ ver sonra al sür ara kaybol sorumlu ol lazım sorumluluğ yok deyip ara çekil bagaj,BAGAJ,,BAGAJ,0,1,0,0,0
erken kap kapat nedeniyle uçağ alın yetersiz i̇ade mağduriyet tarih aile birlikte nın z numara mardi kalk uç sabiha gökçe havaliman yaşa mağduriyet paylaş ist çek işlem zamanında yap bilet valiz belirt saat teslim et i̇kinci kontrol geç sonra a kapı hazır bulun rağmen yetkili uçak erken kalk di kapı kapat uçağ alın yetkili pilot inisiyatif kal alın mümkün olmadığ belirt hata olmadığ tamamen havaliman yönet ’un sorumluluğ ol düşün yaşa mağduriyet sonra müşteri hizmet iletişim geç ancak soru kendi kaynaklan uçağ erken kalk pilot inisiyatif ol söylen üstelik toplam tl öde bilet yalnızca tl komik bir rakam iade ed hata orta aile mağduriyet gider ayrıca sadece ada mers gid birçok yolcu aynı şekil mağdur ed gözlemle uygula hak kazanç sağla amac yap düşün ’tan beklenti aile öde bilet ücret tamam iade ed yaşa mağduriyet gider müşteri̇ hi̇zmetleri̇ müşteri̇ hi̇zmetleri̇,MÜŞTERİ HİZMETLERİ,MÜŞTERİ HİZMETLERİ,MÜŞTERİ HİZMETLERİ,0,0,1,0,0
alzheimer hasta yolcu havaliman yetersiz tekerlek sandalye hizmet ağustos pazar sabah saat ’da i̇stanbul sabiha gökçe havaliman malatya yap uç sırasında alzheimer hasta babaanne tekerlek sandalye taleb bulun ancak yaklaşık bir saat boyunca tekerlek sandalye gel bekle sür zarfında babaanne zar zor ayakta dur zor kal havaliman görev defalarca ilet ancak yetkili prosedür gereğ bir saat bekle gerek başka bir çöz sun belirt süreç fark bir destek çöz öner ’tan beklenti özellikle yaş hasta yolcu tür hizmet hızlı hassas şekil sağ benzer mağduriyet tekrar yaşa hizmet süreç iyi yap yaşa olumsuz dikkat alın konu hızlı bir çöz bulun ed müşteri̇ hi̇zmetleri̇ rötar,MÜŞTERİ HİZMETLERİ,RÖTAR,"MÜŞTERİ HİZMETLERİ,RÖTAR",0,0,1,0,1
trabzon havaliman yaşa olumsuz deney pc trabzon sabiha gökçe uç maalesef u tercih et tek uç havaliman fakat kadar umursamaz rahat iki çalış var check saat ol kadar kişi boş yer hava bir havaliman mağdur oldukbir trabzon havaliman u tercih ed uygun var u zaten asla tercih et kadar olmaz kötü bir şirket yüz türkiye iyi asla ol müşteri̇ hi̇zmetleri̇,MÜŞTERİ HİZMETLERİ,,MÜŞTERİ HİZMETLERİ,0,0,1,0,0
pegasusuçuşunda gecik müşteri hizmet sor yaşa tarih saat ’te ankara i̇zmir’e uçağ seyahat et üzere esenboğa havaliman gel saat kalk uçak dakika gecik belirt numara kapı gid saat ol hala uçak yok kapı kalk iddia ed bir hala utan müşteri hizmet ara pnr no is soy is doğu tarihi uç gör ban zaten boşuna biniş kart ver böyle bir uçuş yoksa ben bagaj ver kg fazla eşya ol par iste bil doğru düzgün bir iş yap rötar,RÖTAR,,RÖTAR,0,0,0,0,1
uçuş saat değişik mağduriyet yetersiz bilgilen ağustos tarih ’tan al ctxg numara iç hat uç büyük bir mağduriyet yaşa uçak bilet gün fazla bir sür önce çukurova havaliman antalya havaliman ol şekil sat al uçuş saat ol görün ancak havaliman zamanında git rağmen uçuş bir önce gece gerçek uçağ kaçır söylen tarafından ban hiçbir şekil hatırla bilgilen uyar mesaj gönder gece ben kişi aynı mağduriyet yaşa havaliman bekle zor kal görev hiçbir şekil yardımcı ol yazıhane kapat git telefon ara erken saat içinde dönüş yap söylen yan yaş çocuğ var süreç maddi manevi ol zor kal taksi gaziantep adana git zor kal ardından otobüs yolcu yap toplam saat yol sıra uçak bilet tl kadar çık süreç yaklaşık tl ara ek masraf ol ayrıca ’un bilgilen yap kasıt ol düşün ’tan bilet ücret dahil yol taksi otobüs masraf iade yaşa mağduriyet telafi ed talep ed müşteri̇ hi̇zmetleri̇ müşteri̇ hi̇zmetleri̇,MÜŞTERİ HİZMETLERİ,MÜŞTERİ HİZMETLERİ,MÜŞTERİ HİZMETLERİ,0,0,1,0,0
pegasuskontuarında hakaret bilet mağduriyet yaşa ağustos sabah i̇zmir adnan menderes havaliman ’un iç hat kontuar ciddi bir mağduriyet yaşa anne birlikte i̇zmirtrabzon uç ’da kontuar git biletleme işlem yap iste görev personel önce geç ardından ters bir tavır azarla işlem yap söyle önce benzer yaşa bilet ver belirt bilet ver ancak bagaj kabul et söyle bagaj ist güvenliğ valiz baş bin lira ver geçir iddia et i̇çlerinde makas törpü eşya bulun mümkün olamaz ancak personel hakaret et göz ön bilet yırt ver söyle nedeniyle yaklaşık saat boyunca havaliman mağdur ol zaruret tekrar ’tan iki yeni bilet al zor kal anne ben bilet toplam ücret bin tl bul ayrıca kedi bilet ekstra bagaj hakk sat al bol bol puan üstüne tl ek öde yap süreç pegasusmüşteri hizmet ulaş çalış ancak telefon yüz kapan hiçbir şekil temsilci ulaş yaşa nedeniyle büyük bir mağduriyet yaşa hiçbir belge açıkla sun ’tan yaşa mağduriyet gider bilet ücret iade talep ed bagaj ücret i̇adesi̇,BAGAJ,ÜCRET İADESİ,"BAGAJ,ÜCRET İADESİ",1,1,0,0,0
pegasusuçuşunda valiz kaybol sürekli yaşa sorun yap uç öze al valiz bir uç kaybet kadar sorumsuz insan çalış bir firma yap çoğu uç soru karşı i̇şim acil ol uğra iste zaman böyle bir soru karşı bagaj müşteri̇ hi̇zmetleri̇,BAGAJ,MÜŞTERİ HİZMETLERİ,"BAGAJ,MÜŞTERİ HİZMETLERİ",0,1,1,0,0
pegasusuçuşunda yaşa uzun rötar yetersiz destek nedeniyle mağduriyet bugün saat ’te i̇zmir’den i̇stanbul’a yap pc sefer sayılı uç ciddi bir rötar yaşa başlangıç dakika gecik ol bildir ancak uçak saat ’de kalk süreç herhangi bir ikra destek sun bagaj ancak saat ’te al şişli bölge ikamet ed ev varış ancak saat ’ü bul önce ’ta gecik yaşa fakat kadar uzun zorla bir ilk karşı yaşa mağduriyet gider tür iyi bilgilen destek sağ talep ed rötar,RÖTAR,,RÖTAR,0,0,0,0,1
yüzünden kayıp bagaj boşa gid tatil yetersiz tazminat mağduriyet ağustos pazar gün ’un pc sefer i̇stanbul’dan kopenhag yap uç varış bagaj teslim band ulaş hemen kopenhag havaliman kayıp bagaj birim bildir ban bavul i̇stanbul’da kal sonra ulaş söylen süreç yaklaşık saat boyunca havaliman bekle zor kal telefon şarj bavul ol iletişim kur büyük zor yaşa çevre yar al güçlük çek i̇ngilizce bil personel çevre anlaş zor kopenhag buluş gerek arkadaş saat boyunca dışarı bekle zor kal sonunda görüş ayrıl bavul kıyafet kişisel bakı eşya şarj alet bozul ürün var tatil gün boyunca bavul ulaş süreç frank tutar yeni kıyafet ayakkabı şarj alet al zor kal ayrıca bavul bulun değer yaklaşık tl ol özel bir peynir bozul tatil büyük kısm mağduriyet nedeniyle boşa geç yılla görüş arkadaş buluş i̇sviçre’ye geç zor kal kıyafet ol gün boyunca abi erkek kıyafet gez zor kal yaşa mağduriyet defalarca mail telefon yoluyla ilet numara dosya üzer yürüt mail sürec ban yalnızca euro bir tazminat teklif yap teklif maddi kayb yaşa manevi mağduriyet kesinlikle karşıla kabul et belirt rağmen sonra herhangi bir dönüş yap sürekli oyala net bir muhatap bul yıldır planla tatil gün tamamen heba ol maddi manevi ol büyük zarar gör ’tan yaşa mağduriyet gerçek karşılığ bul şekil yüksek bir maddi tazminat talep ed bagaj,BAGAJ,,BAGAJ,0,1,0,0,0
uç fazla satış nedeniyle mağduriyet maddi zarar tarih ’tan al antalya–cenevre uç uçağ dolu ol gerekçe uçağ kabul ed bilet gün önceden al ol rağmen aile birlikte yap tatil dön aile uçağ bin fakat ben mağdur ed antalya istek kal zor bırak cenevre ev ulaş ayarla transfer arac boşa git zarar et mecburen bir otel yerleş bura valiz kaybol valiz ertesi gün teslim ed otel valiz mağdur bir şekil konakla zor kal yetkili iletişim geç konakla yeni uçuş söz ver ancak haf sürekli talep bulun rağmen herhangi bir netice al dön sabah antalya–lyon uçağ ’un sağla transfer git çalış fakat yanlış terminal bırak tekrar terminal değiş zor kal uçağ son an yetiş süreç toplam maddi kayb ol ciddi üzüntü mağduriyet yaşa ’tan transfer ücret diğer masraf tazmin ed ayrıca yaşa mağduriyet özür bekl uygulamatekni̇k ücret i̇adesi̇,UYGULAMA/TEKNİK,ÜCRET İADESİ,"UYGULAMA/TEKNİK,ÜCRET İADESİ",1,0,0,1,0
kabin bagaj ölçü rağmen ek ücret kötü muamele karşı kayser erkilet kabin bagaj soru bugün pc kayser uç git kayser erkilet havaliman super eko bilet al bilet yaz kabin bagaj kural uygun kabin bagaj ölçü sahip ol rağmen uçağ bin tl ek ücret iste an yurt dış kart tl çek kal öde antalya yap söyle ücret talep ed ardından oldukça çirkin bir üslup öde uçağ alın belirt normal bir şekil konuş çalış üslup çirkin ben dış kal yolcu kabin valiz kontrol ed kabin bagaj ölçü un resmi site bulun ölçü uyum ol rağmen soru yaşa acilen problem çöz para iade talep ed müşteri̇ hi̇zmetleri̇ ücret i̇adesi̇,MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ,"MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ",1,0,1,0,0
pegasusuçuşunda valiz tekerleğ kır mağduriyet yaşa ağustos tarih ’un pc sefer sayılı i̇stanbul sabiha gökçe uç kullan ev gel valiz tekerleğ kır fark et önce böyle bir sor yaşa ben oldukça mağdur et valiz garanti fatura el mevcut ’tan kır valiz yerine yeni bir valiz te ed talep ed bagaj ücret i̇adesi̇,BAGAJ,ÜCRET İADESİ,"BAGAJ,ÜCRET İADESİ",1,1,0,0,0
öde bagaj ücret i̇kinci alın para i̇stiyorum tarih kıbrıs uç ilgili ciddi bir mağduriyet yaşa uçuş önce bagaj hakk ol kilo bagaj sat al öde dekont el mevcut ancak uçağ bin bilet kontrol nokta ben tekrar tl bagaj ücret alın ücret kredi kart öde zor kal önce böyle bir sor yaşa el öde bagaj ücret dair belge ol rağmen hak yer ikinci ücret alın kabul et fazladan alın tl iade talep ed ücret i̇adesi̇,ÜCRET İADESİ,,ÜCRET İADESİ,1,0,0,0,0
pegasusbilet alım fazla çekil öde i̇ade ed ağustos üzer sabiha gökçen–lyon uç bilet al banka toplam euro tutar beş öde çekil ağustos iade taleb oluş pnr wub tarih yanaçağrı merkez defalarca görüş yalnızca “talebiniz inceleniyor” şekl otomatik eposta al ana kadar herhangi bir öde iade gerçek öde crédit agricole banka üzer yap bank iletişim geç karşı görüşme gerek söylen gün maddi manevi ol mağdur yüksek meblağ nedeniyle ciddi sıkıntı yaş ’tan beklenti para acil ol iade ed yaşa mağduriyet gider maddi manevi hak koru talep ed ücret i̇adesi̇,ÜCRET İADESİ,,ÜCRET İADESİ,1,0,0,0,0
